date,ssn,month_sin,month_cos
1867-02-01,1.4,0.8660254037844386,0.5000000000000001
1867-03-01,17.4,1.0,6.123233995736766e-17
1867-04-01,9.7,0.8660254037844387,-0.4999999999999998
1867-05-01,5.5,0.4999999999999999,-0.8660254037844387
1867-06-01,2.8,1.2246467991473532e-16,-1.0
1867-07-01,9.5,-0.4999999999999997,-0.8660254037844388
1867-08-01,9.1,-0.8660254037844385,-0.5000000000000004
1867-09-01,18.7,-1.0,-1.8369701987210294e-16
1867-10-01,25.5,-0.8660254037844386,0.5000000000000001
1867-11-01,18.1,-0.5000000000000004,0.8660254037844384
1867-12-01,47.9,-2.4492935982947064e-16,1.0
1868-01-01,25.9,0.4999999999999999,0.8660254037844387
1868-02-01,26.3,0.8660254037844386,0.5000000000000001
1868-03-01,44.0,1.0,6.123233995736766e-17
1868-04-01,61.1,0.8660254037844387,-0.4999999999999998
1868-05-01,44.5,0.4999999999999999,-0.8660254037844387
1868-06-01,51.8,1.2246467991473532e-16,-1.0
1868-07-01,48.3,-0.4999999999999997,-0.8660254037844388
1868-08-01,57.3,-0.8660254037844385,-0.5000000000000004
1868-09-01,78.7,-1.0,-1.8369701987210294e-16
1868-10-01,102.8,-0.8660254037844386,0.5000000000000001
1868-11-01,98.7,-0.5000000000000004,0.8660254037844384
1868-12-01,112.8,-2.4492935982947064e-16,1.0
1869-01-01,101.6,0.4999999999999999,0.8660254037844387
1869-02-01,99.9,0.8660254037844386,0.5000000000000001
1869-03-01,88.0,1.0,6.123233995736766e-17
1869-04-01,68.4,0.8660254037844387,-0.4999999999999998
1869-05-01,173.4,0.4999999999999999,-0.8660254037844387
1869-06-01,180.7,1.2246467991473532e-16,-1.0
1869-07-01,98.8,-0.4999999999999997,-0.8660254037844388
1869-08-01,132.7,-0.8660254037844385,-0.5000000000000004
1869-09-01,134.5,-1.0,-1.8369701987210294e-16
1869-10-01,99.0,-0.8660254037844386,0.5000000000000001
1869-11-01,130.2,-0.5000000000000004,0.8660254037844384
1869-12-01,174.1,-2.4492935982947064e-16,1.0
1870-01-01,129.0,0.4999999999999999,0.8660254037844387
1870-02-01,191.7,0.8660254037844386,0.5000000000000001
1870-03-01,262.7,1.0,6.123233995736766e-17
1870-04-01,266.9,0.8660254037844387,-0.4999999999999998
1870-05-01,293.6,0.4999999999999999,-0.8660254037844387
1870-06-01,226.3,1.2246467991473532e-16,-1.0
1870-07-01,220.9,-0.4999999999999997,-0.8660254037844388
1870-08-01,256.5,-0.8660254037844385,-0.5000000000000004
1870-09-01,226.8,-1.0,-1.8369701987210294e-16
1870-10-01,244.3,-0.8660254037844386,0.5000000000000001
1870-11-01,246.0,-0.5000000000000004,0.8660254037844384
1870-12-01,216.7,-2.4492935982947064e-16,1.0
1871-01-01,147.2,0.4999999999999999,0.8660254037844387
1871-02-01,209.0,0.8660254037844386,0.5000000000000001
1871-03-01,238.7,1.0,6.123233995736766e-17
1871-04-01,270.9,0.8660254037844387,-0.4999999999999998
1871-05-01,242.6,0.4999999999999999,-0.8660254037844387
1871-06-01,152.9,1.2246467991473532e-16,-1.0
