date,month_sin,month_cos,ssn
1867-01-01,0.49999999999999994,0.8660254037844387,0.0
1867-02-01,0.8660254037844386,0.5000000000000001,1.4
1867-03-01,1.0,6.123233995736766e-17,17.4
1867-04-01,0.8660254037844387,-0.4999999999999998,9.7
1867-05-01,0.49999999999999994,-0.8660254037844387,5.5
1867-06-01,1.2246467991473532e-16,-1.0,2.8
1867-07-01,-0.4999999999999997,-0.8660254037844388,9.5
1867-08-01,-0.8660254037844384,-0.5000000000000004,9.1
1867-09-01,-1.0,-1.8369701987210297e-16,18.7
1867-10-01,-0.8660254037844386,0.5000000000000001,25.5
1867-11-01,-0.5000000000000004,0.8660254037844384,18.1
1868-01-01,0.49999999999999994,0.8660254037844387,25.9
1868-02-01,0.8660254037844386,0.5000000000000001,26.3
1875-01-01,0.49999999999999994,0.8660254037844387,24.4
1875-05-01,0.49999999999999994,-0.8660254037844387,19.2
1875-07-01,-0.4999999999999997,-0.8660254037844388,20.9
1875-08-01,-0.8660254037844384,-0.5000000000000004,24.4
1875-09-01,-1.0,-1.8369701987210297e-16,4.0
1875-10-01,-0.8660254037844386,0.5000000000000001,21.3
1875-12-01,-2.4492935982947064e-16,1.0,16.5
1876-01-01,0.49999999999999994,0.8660254037844387,23.9
1876-02-01,0.8660254037844386,0.5000000000000001,25.1
1876-04-01,0.8660254037844387,-0.4999999999999998,3.9
1876-05-01,0.49999999999999994,-0.8660254037844387,8.5
1876-06-01,1.2246467991473532e-16,-1.0,2.7
1876-07-01,-0.4999999999999997,-0.8660254037844388,25.5
1876-08-01,-0.8660254037844384,-0.5000000000000004,14.8
1876-09-01,-1.0,-1.8369701987210297e-16,16.6
1876-10-01,-0.8660254037844386,0.5000000000000001,23.9
1876-11-01,-0.5000000000000004,0.8660254037844384,16.6
1876-12-01,-2.4492935982947064e-16,1.0,13.6
1877-02-01,0.8660254037844386,0.5000000000000001,14.5
1877-03-01,1.0,6.123233995736766e-17,19.9
1877-04-01,0.8660254037844387,-0.4999999999999998,26.3
