date,month_sin,month_cos,ssn
1871-09-01,-1.0,-1.8369701987210297e-16,133.9
1872-01-01,0.49999999999999994,0.8660254037844387,132.7
1872-12-01,-2.4492935982947064e-16,1.0,139.9
1873-01-01,0.49999999999999994,0.8660254037844387,144.6
1873-04-01,0.8660254037844387,-0.4999999999999998,127.1
1873-05-01,0.49999999999999994,-0.8660254037844387,80.0
1873-06-01,1.2246467991473532e-16,-1.0,74.8
1873-07-01,-0.4999999999999997,-0.8660254037844388,111.7
1873-08-01,-0.8660254037844384,-0.5000000000000004,113.8
1873-09-01,-1.0,-1.8369701987210297e-16,78.7
1873-10-01,-0.8660254037844386,0.5000000000000001,78.6
1873-11-01,-0.5000000000000004,0.8660254037844384,92.5
1873-12-01,-2.4492935982947064e-16,1.0,82.0
1874-01-01,0.49999999999999994,0.8660254037844387,101.4
1874-02-01,0.8660254037844386,0.5000000000000001,107.1
1874-03-01,1.0,6.123233995736766e-17,77.5
1874-04-01,0.8660254037844387,-0.4999999999999998,53.5
1874-05-01,0.49999999999999994,-0.8660254037844387,74.6
1874-06-01,1.2246467991473532e-16,-1.0,63.8
1874-07-01,-0.4999999999999997,-0.8660254037844388,113.2
1874-08-01,-0.8660254037844384,-0.5000000000000004,102.3
1874-09-01,-1.0,-1.8369701987210297e-16,46.8
1874-10-01,-0.8660254037844386,0.5000000000000001,57.4
1874-11-01,-0.5000000000000004,0.8660254037844384,48.2
1874-12-01,-2.4492935982947064e-16,1.0,48.8
1875-02-01,0.8660254037844386,0.5000000000000001,35.9
1875-03-01,1.0,6.123233995736766e-17,56.4
1875-04-01,0.8660254037844387,-0.4999999999999998,48.6
1875-06-01,1.2246467991473532e-16,-1.0,39.9
1875-11-01,-0.5000000000000004,0.8660254037844384,29.6
1876-03-01,1.0,6.123233995736766e-17,51.1
1877-01-01,0.49999999999999994,0.8660254037844387,40.6
1877-05-01,0.49999999999999994,-0.8660254037844387,36.1
1884-06-01,1.2246467991473532e-16,-1.0,85.3
1884-07-01,-0.4999999999999997,-0.8660254037844388,88.5
1884-10-01,-0.8660254037844386,0.5000000000000001,79.6
1884-11-01,-0.5000000000000004,0.8660254037844384,60.9
1884-12-01,-2.4492935982947064e-16,1.0,78.6
1885-01-01,0.49999999999999994,0.8660254037844387,71.4
1885-03-01,1.0,6.123233995736766e-17,82.9
1885-08-01,-0.8660254037844384,-0.5000000000000004,83.5
1885-09-01,-1.0,-1.8369701987210297e-16,66.0
1885-10-01,-0.8660254037844386,0.5000000000000001,64.5
1885-11-01,-0.5000000000000004,0.8660254037844384,51.6
1885-12-01,-2.4492935982947064e-16,1.0,36.3
1886-01-01,0.49999999999999994,0.8660254037844387,49.8
1886-02-01,0.8660254037844386,0.5000000000000001,43.2
1886-04-01,0.8660254037844387,-0.4999999999999998,72.9
1886-05-01,0.49999999999999994,-0.8660254037844387,51.2
1886-06-01,1.2246467991473532e-16,-1.0,45.3
1886-07-01,-0.4999999999999997,-0.8660254037844388,50.4
1886-08-01,-0.8660254037844384,-0.5000000000000004,28.1
1886-09-01,-1.0,-1.8369701987210297e-16,35.7
1886-12-01,-2.4492935982947064e-16,1.0,21.7
1887-01-01,0.49999999999999994,0.8660254037844387,17.0
1887-02-01,0.8660254037844386,0.5000000000000001,22.0
1887-05-01,0.49999999999999994,-0.8660254037844387,33.4
1887-06-01,1.2246467991473532e-16,-1.0,26.1
1887-07-01,-0.4999999999999997,-0.8660254037844388,38.9
1887-08-01,-0.8660254037844384,-0.5000000000000004,35.7
1887-12-01,-2.4492935982947064e-16,1.0,34.5
1888-01-01,0.49999999999999994,0.8660254037844387,21.2
1888-11-01,-0.5000000000000004,0.8660254037844384,17.9
1895-07-01,-0.4999999999999997,-0.8660254037844388,79.7
1895-11-01,-0.5000000000000004,0.8660254037844384,78.6
1896-01-01,0.49999999999999994,0.8660254037844387,48.4
1896-04-01,0.8660254037844387,-0.4999999999999998,73.0
1896-05-01,0.49999999999999994,-0.8660254037844387,46.1
1896-06-01,1.2246467991473532e-16,-1.0,81.7
1896-07-01,-0.4999999999999997,-0.8660254037844388,75.2
1896-08-01,-0.8660254037844384,-0.5000000000000004,45.4
1896-10-01,-0.8660254037844386,0.5000000000000001,47.9
1896-11-01,-0.5000000000000004,0.8660254037844384,63.3
1896-12-01,-2.4492935982947064e-16,1.0,71.0
1897-01-01,0.49999999999999994,0.8660254037844387,67.6
